LineItems_category,Item,Action,Spec,Quantity,Rate,Unit
,,,,,,
,,,,,,
Site preparation,,,,,,
,Building,,,1,,
,,Strip out,,1,,
,,,Flat ,1,1300,
,,,House,1,2200,
,Room,,,1,,
,,Strip out,,1,,
,,,Kitchen,1,450,
,,,Bathroom,1,820,
,,,Bedroom,1,240,
,,,,,,
Foundations and floors,,,,,,
,Foundations,,,1,,
,,Install,,1,145,LM
,Pad foundations,,,1,,
,,Install,,1,850,
,Insulation ,,,1,,
,,Install,,1,,
,,,Mineral wool,1,18,SM
,,,Polystyrene,1,4,SM
,Sub-floor,,,1,,
,,Install,,1,,
,,,Concrete,1,22,SM
,,,Aggregate,1,18,SM
,,,Ribbed bar reinforced,1,,SM
,,,Steel fabric reinforced,1,,SM
,,,Oversite slabs,1,,SM
,,,Precast T-beams with concrete blocks,1,,SM
,Underpinning,,,1,,
,,Install,,1,130,SM
,Damp proof membrane,,,1,,SM
,,Install,,1,,SM
,,,Gas retardant damp proof membrane,1,,SM
,,,Separating membrane,1,,SM
,,,Gas venting geomembrane,1,,SM
,,,,,,
Masonry walling,,,,,,
,External wall,,,,,
,,Install,,1,,SM
,,,Brick exterior aerated block interior,1,110,SM
,,,Aerated block exterior and interior,1,90,SM
,,,,1,,
,Internal wall,,,1,,SM
,,Install,,1,,SM
,,,Aerated blocks,1,27,SM
,,,Aggragate blocks,1,35,SM
,,,Common bricks,1,47,SM
,,,Reclaimed bricks,1,50,SM
,Opening in external wall,,,1,,
,,Install,,1,240,SM
,Opening in internal wall,,,1,,
,,Install,,1,120,SM
,Pointing,,,,,
,,Install,,,,
,,,Bucket handle,,27,
,,,Flush,,30,
Frames and steelwork,,,,,,
,Steel frame,,,,,
,,Install,,,,
,,,Lightweight steel,,470,LM
,,,Hollow steel,,560,LM
,,,Hot rolled steel,,660,LM
,Steel post,,,,,
,,Install,,,,
,,,Lightweight steel,,760,LM
,,,Hollow steel,,820,LM
,,,Hot rolled steel,,940,LM
,Steel floor beam,,,,,
,,Install,,,,
,,,Lightweight steel,,670,LM
,,,Hollow steel,,760,LM
,,,Hot rolled steel,,860,LM
,Steel roof beam,,,,,
,,Install,,,,
,,,Lightweight steel,,780,LM
,,,Hollow steel,,860,LM
,,,Hot rolled steel,,990,LM
,,,,,,
Structural timber and carpentry,,,,,,
,Ground floor joists,,,,,
,,Install,,,,
,,,Solid timber,,125,
,,,Composite I beam,,135,
,Upper floor joists,,,,,
,,Install,,,,
,,,Solid timber,,165,
,,,Composite I beam,,155,
,Ceiling joists,,,,,
,,Install,,,,
,,,Solid timber,,175,
,,,Composite I beam,,165,
,Flat roof joists,,,,,
,,Install,,,,
,,,Solid timber,,175,
,,,Composite I beam,,165,
,Pitched roof joists,,,,,
,,Install,,,,
,,,Solid timber,,240,
,,,Composite I beam,,230,
,Partition wall,,,,,
,,Install,,,,
,,,Solid timber,,60,
,,,Composite I beam,,55,
,Opening in partition walls,,,,,
,,Install,,,25,
,Opening in timber floor,,,,,
,,Install,,,120,
,Opening in flat roof,,,,,
,,Install,,,140,
,Opening in pitched roof,,,,,
,,Install,,,150,
,,,,,,
External cladding and soffits,,,,,,
,Weatherboard,,,,,
