id,quote_id,amount,fee_percentage,is_paid,paid_at,payment_summary,created_at,updated_at,reference,due_date,approved,slug,token
76,46,3267.09,5,t,2015-11-04 14:24:36.924657,Week 4,2015-10-12 16:04:58.060227,2015-11-04 14:24:36.928832,1RMR1-76,2015-11-06,t,2jdwjk10yoysclssn32omoybo,2jdwjk10yoysclssn32omoybo
42,50,1.0,10,t,2015-09-14 12:39:42.943365,test 2,2015-09-14 12:24:46.358543,2015-09-14 12:39:42.945639,12345678test-42,2015-10-01,t,,
55,61,10.0,10,t,2015-09-25 13:55:21.982537,1st payment for monkeys,2015-09-25 13:52:41.484185,2015-09-25 13:55:21.984709,Test quote for anyd-55,2015-09-26,t,57y9811sjq97jypy58hbv0777,57y9811sjq97jypy58hbv0777
43,50,1.0,10,t,2015-09-14 13:49:43.161033,234,2015-09-14 13:45:11.170098,2015-09-14 13:49:43.162915,12345678test-43,2015-09-11,t,,
22,4,1931.5,10,f,,This is the final outstanding payment. Thank you.,2015-07-29 11:03:12.537619,2015-09-14 11:23:38.71384,1REEKH162-22,,t,,
10,6,1110.0,10,t,2015-07-29 12:00:24.723876,"Full payment, due on completion.",2015-07-08 11:26:28.743751,2015-09-14 11:23:38.785967,1RCMKM162-10,,t,,
3,5,1143.75,10,t,2015-07-02 17:08:00,This is a 25% payment for the deposit of the job. ,2015-07-08 10:27:50.75939,2015-09-14 11:23:38.83158,1RGVGC182-3,,t,,
23,21,2500.0,10,t,2015-07-29 17:45:05.280311,Deposit,2015-07-29 17:03:54.229358,2015-09-14 11:23:38.851386,-23,,t,,
11,8,260.0,10,t,2015-07-30 17:16:24.519095,Full payment due on completion,2015-07-08 11:43:40.352583,2015-09-14 11:23:38.866285,1RCMKM189-11,,t,,
7,4,1030.5,10,t,2015-07-03 17:29:00,"25% deposit payable immediately
",2015-07-08 11:16:04.755318,2015-09-14 11:23:38.945519,1REEKH162-7,,t,,
6,3,1462.88,100,t,2015-07-08 21:10:31.095411,Remainder of the invoice,2015-07-08 10:37:46.793805,2015-09-14 11:23:38.960934,1REECC182-6,,t,,
14,14,2000.0,10,f,,This is the deposit payment to be made. (don't pay as you will be charged and this is a test.),2015-07-13 11:10:51.716596,2015-09-14 11:23:38.979313,1RTBDS-14,,t,,
24,21,3500.0,10,t,2015-08-04 13:24:12.564725,1st installment due after one week,2015-07-29 17:03:54.962248,2015-09-14 11:23:39.063978,-24,,t,,
21,9,690.0,10,t,2015-08-06 09:08:34.136469,Full payment for completed work.,2015-07-27 16:24:29.683275,2015-09-14 11:23:39.096579,1RDSJB190-21,,t,,
5,5,2058.75,10,t,2015-07-21 11:08:29.628919,"Third payment, 45% of total job cost. Due on completion.",2015-07-08 10:32:47.396102,2015-09-14 11:23:39.115074,1RGVGC182-5,,t,,
4,5,1372.5,10,t,2015-07-21 11:09:53.1699,"Second payment, 30% of total job cost.",2015-07-08 10:29:43.669196,2015-09-14 11:23:39.134829,1RGVGC182-4,,t,,
17,12,,"",f,,"",2015-07-21 13:22:55.959106,2015-09-14 11:23:39.158535,-17,,t,,
18,12,,"",f,,"",2015-07-21 13:22:55.987206,2015-09-14 11:23:39.181506,-18,,t,,
25,21,2400.0,10,t,2015-08-20 12:34:19.735648,Final payment due on completion,2015-07-29 17:03:54.988259,2015-09-14 11:23:39.198038,-25,,t,,
