Task_action,Task_item,Task_group,Default quanity,Task _units,Task_rate,Task_searchable,Task_searchable_name
Strip out,Head units,Units,5,,60,Yes,Kitchen head units (Strip out)
Strip out,Base units,Units,5,,80,Yes,Kitchen base units (Strip out)
Strip out,Gas oven,Oven,1,,60,Yes,Gas oven (Strip out)
Strip out,Electric oven,Oven,1,,55,Yes,Electric oven (Strip out)
Strip out,Gas hob,Hob,1,,55,Yes,Gas hob (Strip out)
Strip out,Electric hob,Hob,1,,45,Yes,Electric hob (Strip out)
Strip out,Single sink,Sink,1,,15,Yes,Single sink (Strip out)
Strip out,Double sink,Sink,1,,20,Yes,Double sink (Strip out)
Strip out,Single fridge/freezer,Fridge/freezer,1,,70,Yes,Single fridge/freezer (Strip out)
Strip out,Double fridge/freezer,Fridge/freezer,1,,90,Yes,Double fridge/freezer (Strip out)
Strip out,Dishwasher,Dishwasher,1,,70,Yes,Dishwasher (Strip out)
Strip out,Extractor fan,Extractor fan,1,,90,Yes,Extractor fan (Strip out)
Strip out,Laminate wood,Flooring,Floor area,m2,9,Yes,Laminate wood (Strip out)
Strip out,Engineered wood,Flooring,Floor area,m2,9,Yes,Engineered wood (Strip out)
Strip out,Solid wood,Flooring,Floor area,m2,12,Yes,Solid wood (Strip out)
Strip out,Floor tiles,Flooring,Floor area,m2,12,Yes,Floor tiles (Strip out)
Strip out,Carpet and grippers,Flooring,Floor area,m2,10,Yes,Carpet and grippers (Strip out)
Strip out,Internal door,Door,1,,60,Yes,Internal door (Strip out)
Strip out,Front door,Door,1,,70,Yes,Front door (Strip out)
Strip out,Skirting,Skirting,Wall length,m,3,Yes,Skirting (Strip out)
Strip out,Door frame,Door frame,1,,14,Yes,Door frame (Strip out)
Strip out,Pendant light,Light,1,,4,Yes,Pendant light (Strip out)
Strip out,Spot light,Light,1,,4,Yes,Spot light (Strip out)
Strip out,Acrylic bath,Bath,1,,85,Yes,Acrylic bath (Strip out)
Strip out,"Shower, mixer and tray",Shower,1,,180,Yes,"Shower, mixer and tray (Strip out)"
Strip out,Sink,Sink,1,,60,Yes,Sink (Strip out)
Strip out,Toilet,Toilet,1,,75,Yes,Toilet (Strip out)
Strip out,Wall tiles,Tiles,8,,12,Yes,Wall tiles (Strip out)
Strip out,Floor tiles,Tiles,1,,12,Yes,Floor tiles (Strip out)
Strip out,Electric towel rail,Towel rail,1,,40,Yes,Electric towel rail (Strip out)
Strip out,Plumbed in towel rail,Towel rail,1,,50,Yes,Plumbed in towel rail (Strip out)
Strip out,Extractor fan,Extractor fan,1,,15,Yes,Extractor fan (Strip out)
Strip out,Coving,Coving,Wall length,,3,Yes,Coving (Strip out)
Strip out,Casement,Window,1,,40,Yes,Casement (Strip out)
Strip out,Sash,Window,1,,50,Yes,Sash (Strip out)
Strip out,Bay,Window,1,,60,Yes,Bay (Strip out)
Strip out,Brick wall around window,Wall,1,,460,Yes,Brick wall around window (Strip out)
Strip out,Structural opening 2-3m,Wall,1,,1410,Yes,Structural opening 2-3m (Strip out)
Strip out,Structural opening 3-4m,Wall,1,,2280,Yes,Structural opening 3-4m (Strip out)
