Task_search_display_name,Task_quote_dispaly_name,Task_group,Task_category,Task_default_description,Default quanity,task_default_unit,Task_searchable,Task_rate,Dermot,Sandel
Fit kitchen - head units,Kitchen - head units,Kitchen units,Carpentry,,4,m,Yes,80,,
Fit kitchen - base units,Kitchen - base units,Kitchen units,Carpentry,,4,m,Yes,120,,
Fit kitchen,Kitchen,Kitchen units,Carpentry,,,,Yes,120,,
,,,,,,,,,,
Fit worktop - stainless-steel ,Worktop - stainless-steel ,Kitchen worktop,Carpentry,,4,m,Yes,140,,
Fit worktop - laminate,Worktop - laminate,Kitchen worktop,Carpentry,,4,m,Yes,120,,
Fit worktop - solid wood,Worktop - solid wood,Kitchen worktop,Carpentry,,4,m,Yes,180,,
Fit worktop - corian,Worktop - corian,Kitchen worktop,Carpentry,,4,m,Yes,350,,
Fit worktop - stone/quartz,Worktop - stone/quartz,Kitchen worktop,Carpentry,,4,m,Yes,280,,
Fit worktop - marble,Worktop - marble,Kitchen worktop,Carpentry,,4,m,Yes,280,,
Fit worktop ,Worktop ,Kitchen worktop,Carpentry,,4,m,Yes,150,,
,,,,,,,,,,
Install oven - electric,Oven - electric,Cooking appliances,Electrics,,1,,Yes,100,,
Install oven - gas,Oven - gas,Cooking appliances,Plumbing,,1,,Yes,120,,
,,,,,,,,,,
Install hob - electric,Hob - electric,Cooking appliances,Electrics,,1,,Yes,90,,
Install hob - gas,Hob - gas,Cooking appliances,Plumbing,,1,,Yes,100,,
,,,,,,,,,,
Install range - gas,Range - gas,Cooking appliances,Plumbing,,1,,Yes,120,,
Install microwave - integrated,Microwave - integrated,Cooking appliances,Electrics,,1,,Yes,100,,
,,,,,,,,,,
Wire light - spot,Spot light,Lights,Electrics,,1,,Yes,45,,
Wire light - down,Down light,Lights,Electrics,,1,,Yes,55,,
Wire light - pendant,Pendant light,Lights,Electrics,,1,,Yes,45,,
Wire light - wall,Wall light,Lights,Electrics,,1,,Yes,70,,
Wire light - spot (IP rated),Spot light - IP rated,Lights,Electrics,,1,,Yes,45,,
Wire light - down (IP rated),Down light  - IP rated,Lights,Electrics,,1,,Yes,55,,
Wire light - pendant (IP rated),Pendant light - IP rated,Lights,Electrics,,1,,Yes,45,,
Wire light - wall (IP rated),Wall light - IP rated,Lights,Electrics,,1,,Yes,70,,
Wire light - under counter,Light - under counter,Lights,Electrics,,1,,Yes,20,,
,,,,,,,,,,
Wire switch - single,Single switch,Switches,Electrics,,1,,Yes,60,,
Wire switch - double,Double switch,Switches,Electrics,,1,,Yes,65,,
Wire switch - single dimmer,Single dimmer,Switches,Electrics,,1,,Yes,65,,
Wire switch - double dimmer,Double dimmer,Switches,Electrics,,1,,Yes,70,,
Wire fuse spur,Fuse spur,Switches,Electrics,,1,,Yes,70,,
,,,,,,,,,,
Wire socket - double,Double socket,Sockets,Electrics,,1,,Yes,75,,
Wire socket - single,Single socket,Sockets,Electrics,,1,,Yes,70,,
Wire socket - double w. USB,Double socket w. USB,Sockets,Electrics,,1,,Yes,75,,
Install internet point,Internet point,Sockets,Electrics,,1,,Yes,70,,
Install TV point,TV point,Sockets,Electrics,,1,,Yes,70,,
Wire shaver point,Shaver point,Sockets,Electrics,,1,,Yes,75,,
,,,,,,,,,,
Install kitchen extractor - vented ,Kitchen extractor - vented ,Extractor fan,Electrics,,1,,Yes,140,,
Install kitchen extractor - charcoal,Kitchen extractor - charcoal,Extractor fan,Electrics,,1,,Yes,40,,
Install bathroom extractor - vented ,Bathroom extractor - vented ,Extractor fan,Electrics,,1,,Yes,140,,
,,,,,,,,,,
Install towel rail - plumbed,Towel rail - plumbed,Towel rail,Plumbing,,1,,Yes,110,,
Install towel rail - electric,Towel rail - electric,Towel rail,Electric,,1,,Yes,130,,
,,,,,,,,,,
Install underfloor heating - plumbed,Underfloor heating - plumbed,Underfloor heating,Plumbing,,1,,Yes,110,,
Install underfloor heating - electric,Underfloor heating - electric,Underfloor heating,Electric,,1,,Yes,70,,
,,,,,,,,,,
Install washing machine,Washing machine,Washing machine,Plumbing,,1,,Yes,110,,
Install tumble dryer - plumbed,Tumble dryer - plumbed,Washing machine,Plumbing,,1,,Yes,110,,
Install tumble dryer - condensing,Tumble dryer - condensing,Washing machine,Electrics,,1,,Yes,80,,
,,,,,,,,,,
